Place	Bib	Name	Team	Time
207th	74	Chris Ludikhuize	Big Wheel Coaching	9h 25m 22.69s
208th	305	Duban Sanchez		9h 25m 22.83s
209th	45	David Sheek	SDG - Monster Hydro	9h 25m 30.43s
210th	1451	Mike Shaw	Courieur	9h 26m 15.89s
211th	515	Dean Jagusch	C3-Wagner Roofing	9h 27m 18.48s
212th	1117	Pete McCarthy		9h 27m 20.09s
213th	1023	Aaron Johnson		9h 27m 40.00s
214th	1151	Tori Mosley	Enve Racing	9h 28m 13.29s
215th	539	Allen McDonald	Wahoo Masters	9h 28m 27.62s
216th	719	Patrick Sullivan	Eliel Factory Team	9h 29m 25.22s
217th	734	Simon Western	CRCA	9h 29m 28.17s
218th	714	David Spargo	Victory Velo	9h 30m 28.02s
219th	806	Olaf Auerbach		9h 30m 54.96s
220th	818	Scott Benge	Telluride Cycling Club	9h 31m 08.45s
221st	343	Matvey Brantveyn	Carefast Cycling	9h 31m 14.68s
222nd	560	Stephen Phillips	Warrior Foundation Freedom Station	9h 31m 36.61s
223rd	1127	Aaron McNaught		9h 31m 42.37s
224th	693	Aaron Papa	FLO Factory Team	9h 31m 55.39s
225th	436	Jesse Weinberg	Velo Club La Grange	9h 32m 25.80s
226th	523	Ronald Kizziar	Beer Mongers	9h 33m 22.72s
227th	1281	William Sitch		9h 33m 28.63s
228th	265	Max Halpern	Team California Jr.	9h 34m 03.77s
229th	271	Paul Hutcherson	G-3 Foundation / 92625 / Sejuiced	9h 36m 35.67s
230th	1095	Mike Maderos	FSB/Ciclistas del Valle Cycling Club	9h 36m 49.14s
231st	947	Kyle Fronckowiak		9h 36m 50.82s
232nd	1391	Stewart Thompson		9h 37m 23.34s
233rd	1351	Eric Williams		9h 37m 37.01s
234th	1240	Ryan Richman		9h 37m 37.65s
235th	989	Jorg Heinemann	Alto Velo	9h 37m 40.86s
236th	1001	Jacob Hoffpauir		9h 38m 07.28s
237th	840	Dwight Brown	Team Stages	9h 38m 16.87s
238th	1401	Kai Yu		9h 38m 56.60s
239th	647	Morgan Goodwin		9h 39m 04.11s
240th	692	Daniel Page		9h 39m 31.92s
241st	738	Josh Wolff	Team Lone Wolff	9h 39m 34.04s
242nd	961	Gavin Gatta	San Diego Bicycle Club	9h 41m 27.86s
243rd	760	Matheson Harris	RipCut Design	9h 41m 41.70s
244th	1197	Robert Pierce		9h 41m 52.77s
245th	583	Sam Trujillo		9h 42m 26.07s
246th	884	Matt Cowell		9h 42m 32.15s
247th	1458	Jon Houlberg		9h 42m 37.35s
248th	120	Justin Dillon	Shimano	9h 42m 44.41s
249th	363	Scott Freedman		9h 42m 52.76s
250th	399	Jeffrey Mitchell	Carefast Cycling Team	9h 42m 59.00s
251st	602	Andy Zinsser		9h 43m 23.36s
252nd	106	Antti Kallonen		9h 43m 24.54s
253rd	593	Richard Welker	Team Six	9h 43m 28.01s
254th	1174	Peter Osborn	The Path Bike Shop	9h 43m 33.07s
255th	302	Bryan Rocha		9h 43m 52.04s
256th	55	Andrew Haughian	Bicicletta Factory Racing	9h 44m 30.76s
257th	88	Vicente Cobo		9h 44m 39.19s
258th	1422	David Wild	Mecca	9h 44m 47.48s
259th	1295	Brian Stringfellow	Wolfpack	9h 44m 48.24s
260th	244	Doug Bonney	Velo-worx/100%	9h 44m 49.42s
261st	78	Brian Bowling	Planet Ultra	9h 44m 54.60s
262nd	503	Grant Harrell	Reunion Racing	9h 45m 37.31s
263rd	585	David Turner	Turnerbikesdotcom	9h 46m 19.20s
264th	996	Josh Hochman		9h 47m 24.85s
265th	293	Jason Phillips	SRAM Racing	9h 47m 38.54s
266th	1071	Andy Leinicke	PTO COFFEE	9h 47m 58.34s
267th	531	Ryan Linden		9h 48m 08.30s
268th	727	Alan Van Divort	Velo Allegro	9h 49m 53.45s
269th	101	Nadav Elkabets		9h 50m 22.58s
270th	1327	Jean-francois Vidon		9h 50m 24.66s
271st	460	Bill Brier	Team Fremont/FFBC	9h 50m 37.36s
